Pool No.,No,ID,Title,Author,VIS Presenting Year,Year,Keywords,Abstract,DOI,Location,application-focused,user-involved,evaluation-included,evaluation,case study related,design study,Assignment,Manual filtering,"Final Check: Keep-1,Drop-0",A1-Domain (Primary),A1-Domain (Secondary),A1-Domain (Manual labelling),A2-Data-Driven,C-Evaluation mentioned in Contribution,D-Separate section to describe evaluation practices ,D1-Study Protocol included,E-Domain requirements & tasks mentioned,E1- Domain experts involvement in shaping the requirements & tasks,F-Application implementation described,G-Domain integration,AI-related: VIS application for AI,AI-related: AI enhancing VIS tools,AR/VR/XR-related,N.O.Sessions,Total No. of participant,Participant type (a),Number (a),Participant type (b),Number (b),UWP : Understand environments and work prctices,VDAR: Visual data analysis and reasoning,CTV: Evaluate communication through visualization,CDA: Evaluate collaborative data analysis,UP: User performance,UE: User experience,AP: Algorithm performance,QRI: Qualitative result inspection,*ESG: Evaluate Scalibility and Generalizability,*EUV: Extened User Validation,Observation,Workshop,Focus group,Think-aloud protocol,Interview,Survey & Questionnaire,Task-based evaluation (Ql),User Interaction with the tool,Content analysis,Expert/user feedback,Case study,Controlled experiments,A/B testing,Performance evaluation,Task-based evaluation (Qn),User behavior analysis,At which stage,Iterative refinement,Others,Comments
329,118,2020J119,"Comparative Layouts Revisited: Design Space, Guidelines, and Future Directions","LYi, Sehi and Jo, Jaemin and Seo, Jinwook",2020,2021,Layout;Visualization;Task analysis;Bars;Heating systems;Data visualization;Guidelines;Comparative layout;visual comparison;literature review;juxtaposition;superposition;explicit-encoding,"We present a systematic review on three comparative layouts-juxtaposition, superposition, and explicit-encoding-which are information visualization (InfoVis) layouts designed to support comparison tasks. For the last decade, these layouts have served as fundamental idioms in designing many visualization systems. However, we found that the layouts have been used with inconsistent terms and confusion, and the lessons from previous studies are fragmented. The goal of our research is to distill the results from previous studies into a consistent and reusable framework. We review 127 research papers, including 15 papers with quantitative user studies, which employed comparative layouts. We first alleviate the ambiguous boundaries in the design space of comparative layouts by suggesting lucid terminology (e.g., chart-wise and item-wise juxtaposition). We then identify the diverse aspects of comparative layouts, such as the advantages and concerns of using each layout in the real-world scenarios and researchers' approaches to overcome the concerns. Building our knowledge on top of the initial insights gained from the Gleicher et al.'s survey [19], we elaborate on relevant empirical evidence that we distilled from our survey (e.g., the actual effectiveness of the layouts in different study settings) and identify novel facets that the original work did not cover (e.g., the familiarity of the layouts to people). Finally, we show the consistent and contradictory results on the performance of comparative layouts and offer practical implications for using the layouts by suggesting trade-offs and seven actionable guidelines.",10.1109/TVCG.2020.3030419,,TRUE,TRUE,TRUE,,T,F,C2,DROP,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020J121,"StackGenVis: Alignment of Data, Algorithms, and Models for Stacking Ensemble Learning Using Performance Metrics","Chatzimparmpas, Angelos and Martins, Rafael M. and Kucher, Kostiantyn and Kerren, Andreas",2020,,,,,,TRUE,TRUE,TRUE,T,,F,C2,KEEP,1,1. AI (Machine Learning/Deep Learning/Data Mining),,Machine Learning,0,1,1,1,1,0,1,1,1,0,0,2,3,1. domain expert,3,,,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,4. After the deployment,0,,
333,119,2020J121,,,,2021,Stacking;Measurement;Data models;Predictive models;Boosting;Prediction algorithms;Data visualization;Stacking;stacked generalization;ensemble learning;visual analytics;visualization,"In machine learning (ML), ensemble methods-such as bagging, boosting, and stacking-are widely-established approaches that regularly achieve top-notch predictive performance. Stacking (also called â€œstacked generalizationâ€) is an ensemble method that combines heterogeneous base models, arranged in at least one layer, and then employs another metamodel to summarize the predictions of those models. Although it may be a highly-effective approach for increasing the predictive performance of ML, generating a stack of models from scratch can be a cumbersome trial-and-error process. This challenge stems from the enormous space of available solutions, with different sets of data instances and features that could be used for training, several algorithms to choose from, and instantiations of these algorithms using diverse parameters (i.e., models) that perform differently according to various metrics. In this work, we present a knowledge generation model, which supports ensemble learning with the use of visualization, and a visual analytics system for stacked generalization. Our system, StackGenVis, assists users in dynamically adapting performance metrics, managing data instances, selecting the most important features for a given data set, choosing a set of top-performant and diverse algorithms, and measuring the predictive performance. In consequence, our proposed tool helps users to decide between distinct models and to reduce the complexity of the resulting stack by removing overpromising and underperforming models. The applicability and effectiveness of StackGenVis are demonstrated with two use cases: a real-world healthcare data set and a collection of data related to sentiment/stance detection in texts. Finally, the tool has been evaluated through interviews with three ML experts.",10.1109/TVCG.2020.3030352,,,,,,,,,,1,,,,,,,,,,,,,,,,,5. no participant,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4. After the deployment,0,,
341,120,2020J127,Co-Bridges: Pair-wise Visual Connection and Comparison for Multi-item Data Streams,"Chen, Siming and Andrienko, Natalia and Andrienko, Gennady and Li, Jie and Yuan, Xiaoru",2020,2021,Rivers;Social networking (online);Data visualization;Task analysis;Bridges;Visual analytics;Visual Comparison;Pair-wise Analysis;Multi-item Data Stream;Social Media,"In various domains, there are abundant streams or sequences of multi-item data of various kinds, e.g. streams of news and social media texts, sequences of genes and sports events, etc. Comparison is an important and general task in data analysis. For comparing data streams involving multiple items (e.g., words in texts, actors or action types in action sequences, visited places in itineraries, etc.), we propose Co-Bridges, a visual design involving connection and comparison techniques that reveal similarities and differences between two streams. Co-Bridges use river and bridge metaphors, where two sides of a river represent data streams, and bridges connect temporally or sequentially aligned segments of streams. Commonalities and differences between these segments in terms of involvement of various items are shown on the bridges. Interactive query tools support the selection of particular stream subsets for focused exploration. The visualization supports both qualitative (common and distinct items) and quantitative (stream volume, amount of item involvement) comparisons. We further propose Comparison-of-Comparisons, in which two or more Co-Bridges corresponding to different selections are juxtaposed. We test the applicability of the Co-Bridges in different domains, including social media text streams and sports event sequences. We perform an evaluation of the users' capability to understand and use Co-Bridges. The results confirm that Co-Bridges is effective for supporting pair-wise visual comparisons in a wide range of applications.",10.1109/TVCG.2020.3030411,,TRUE,TRUE,TRUE,T,,F,C2,DROP,0,,,,1,1,1,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,358,2020J128,MultiSegVA: Using Visual Analytics to Segment Biologging Time Series on Multiple Scales,"Meschenmoser, Philipp and BuchmÃ¼ller, Juri F. and Seebacher, Daniel and Wikelski, Martin and Keim, Daniel A.",2020,2021,Time series analysis;Animals;Ecology;Task analysis;Hidden Markov models;Visualization;Visual analytics;time series segmentation;multi-scale analyses;movement ecology,"Segmenting biologging time series of animals on multiple temporal scales is an essential step that requires complex techniques with careful parameterization and possibly cross-domain expertise. Yet, there is a lack of visual-interactive tools that strongly support such multi-scale segmentation. To close this gap, we present our MultiSegVA platform for interactively defining segmentation techniques and parameters on multiple temporal scales. MultiSegVA primarily contributes tailored, visual-interactive means and visual analytics paradigms for segmenting unlabeled time series on multiple scales. Further, to flexibly compose the multi-scale segmentation, the platform contributes a new visual query language that links a variety of segmentation techniques. To illustrate our approach, we present a domain-oriented set of segmentation techniques derived in collaboration with movement ecologists. We demonstrate the applicability and usefulness of MultiSegVA in two real-world use cases from movement ecology, related to behavior analysis after environment-aware segmentation, and after progressive clustering. Expert feedback from movement ecologists shows the effectiveness of tailored visual-interactive means and visual analytics paradigms at segmenting multi-scale data, enabling them to perform semantically meaningful analyses. A third use case demonstrates that MultiSegVA is generalizable to other domains.",10.1109/TVCG.2020.3030386,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,359,2020J130,Responsive Matrix Cells: A Focus+Context Approach for Exploring and Editing Multivariate Graphs,"Horak, Tom and Berger, Philip and Schumann, Heidrun and Dachselt, Raimund and Tominski, Christian",2020,2021,Data visualization;Visualization;Task analysis;Layout;Lenses;Tools;Encoding;Multivariate graph visualization;matrix visualization;focus+context;embedded visualizations;responsive visualization;graph editing,"Matrix visualizations are a useful tool to provide a general overview of a graph's structure. For multivariate graphs, a remaining challenge is to cope with the attributes that are associated with nodes and edges. Addressing this challenge, we propose responsive matrix cells as a focus+context approach for embedding additional interactive views into a matrix. Responsive matrix cells are local zoomable regions of interest that provide auxiliary data exploration and editing facilities for multivariate graphs. They behave responsively by adapting their visual contents to the cell location, the available display space, and the user task. Responsive matrix cells enable users to reveal details about the graph, compare node and edge attributes, and edit data values directly in a matrix without resorting to external views or tools. We report the general design considerations for responsive matrix cells covering the visual and interactive means necessary to support a seamless data exploration and editing. Responsive matrix cells have been implemented in a web-based prototype based on which we demonstrate the utility of our approach. We describe a walk-through for the use case of analyzing a graph of soccer players and report on insights from a preliminary user feedback session.",10.1109/TVCG.2020.3030371,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,121,2020J131,Exemplar-based Layout Fine-tuning for Node-link Diagrams,"Pan, Jiacheng and Chen, Wei and Zhao, Xiaodong and Zhou, Shuyue and Zeng, Wei and Zhu, Minfeng and Chen, Jian and Fu, Siwei and Wu, Yingcai",2020,2021,Layout;Optimization;Merging;Topology;Two dimensional displays;Software algorithms;Measurement;Node-link diagram;graph layout;graph visualization;user interactions,"We design and evaluate a novel layout fine-tuning technique for node-link diagrams that facilitates exemplar-based adjustment of a group of substructures in batching mode. The key idea is to transfer user modifications on a local substructure to other substructures in the entire graph that are topologically similar to the exemplar. We first precompute a canonical representation for each substructure with node embedding techniques and then use it for on-the-fly substructure retrieval. We design and develop a light-weight interactive system to enable intuitive adjustment, modification transfer, and visual graph exploration. We also report some results of quantitative comparisons, three case studies, and a within-participant user study.",10.1109/TVCG.2020.3030393,,TRUE,TRUE,TRUE,T,T,F,C2,DROP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,360,2020J134,SafetyLens: Visual Data Analysis of Functional Safety of Vehicles,"Narechania, Arpit and Qamar, Ahsan and Endert, Alex",2020,2021,Hazards;Acceleration;Visualization;Automotive engineering;Brakes;Tools;Visual data analysis;Design study;Network visualization;Functional safety;Automotive engineering,"Modern automobiles have evolved from just being mechanical machines to having full-fledged electronics systems that enhance vehicle dynamics and driver experience. However, these complex hardware and software systems, if not properly designed, can experience failures that can compromise the safety of the vehicle, its occupants, and the surrounding environment. For example, a system to activate the brakes to avoid a collision saves lives when it functions properly, but could lead to tragic outcomes if the brakes were applied in a way that's inconsistent with the design. Broadly speaking, the analysis performed to minimize such risks falls into a systems engineering domain called Functional Safety. In this paper, we present SafetyLens, a visual data analysis tool to assist engineers and analysts in analyzing automotive Functional Safety datasets. SafetyLens combines techniques including network exploration and visual comparison to help analysts perform domain-specific tasks. This paper presents the design study with domain experts that resulted in the design guidelines, the tool, and user feedback.",10.1109/TVCG.2020.3030382,,TRUE,TRUE,FALSE,,,T,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,122,2020J138,CAVA: A Visual Analytics System for Exploratory Columnar Data Augmentation Using Knowledge Graphs,"Cashman, Dylan and Xu, Shenyu and Das, Subhajit and Heimerl, Florian and Liu, Cong and Humayoun, Shah Rukh and Gleicher, Michael and Endert, Alex and Chang, Remco",2020,2021,Task analysis;Visual analytics;Machine learning;Data models;Data visualization;Google;Training;Visual Analytics;Information Foraging;Data Augmentation,"Most visual analytics systems assume that all foraging for data happens before the analytics process; once analysis begins, the set of data attributes considered is fixed. Such separation of data construction from analysis precludes iteration that can enable foraging informed by the needs that arise in-situ during the analysis. The separation of the foraging loop from the data analysis tasks can limit the pace and scope of analysis. In this paper, we present CAVA, a system that integrates data curation and data augmentation with the traditional data exploration and analysis tasks, enabling information foraging in-situ during analysis. Identifying attributes to add to the dataset is difficult because it requires human knowledge to determine which available attributes will be helpful for the ensuing analytical tasks. CAVA crawls knowledge graphs to provide users with a a broad set of attributes drawn from external data to choose from. Users can then specify complex operations on knowledge graphs to construct additional attributes. CAVA shows how visual analytics can help users forage for attributes by letting users visually explore the set of available data, and by serving as an interface for query construction. It also provides visualizations of the knowledge graph itself to help users understand complex joins such as multi-hop aggregations. We assess the ability of our system to enable users to perform complex data combinations without programming in a user study over two datasets. We then demonstrate the generalizability of CAVA through two additional usage scenarios. The results of the evaluation confirm that CAVA is effective in helping the user perform data foraging that leads to improved analysis outcomes, and offer evidence in support of integrating data augmentation as a part of the visual analytics pipeline.",10.1109/TVCG.2020.3030443,,TRUE,TRUE,TRUE,T,T,F,C2,KEEP,1,,,,1,1,1,1,1,1,1,1,0,0,0,1,6,2. domain user,6,,,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,4. After the deployment,0,,
865,361,2020J139,An Examination of Grouping and Spatial Organization Tasks for High-Dimensional Data Exploration,"Wenskovitch, John and North, Chris",2020,2021,Task analysis;Tools;Cognition;Dimensionality reduction;Visualization;Data analysis;Semantics;Clustering;dimension reduction;spatialization;grouping;cognitive study,"How do analysts think about grouping and spatial operations? This overarching research question incorporates a number of points for investigation, including understanding how analysts begin to explore a dataset, the types of grouping/spatial structures created and the operations performed on them, the relationship between grouping and spatial structures, the decisions analysts make when exploring individual observations, and the role of external information. This work contributes the design and results of such a study, in which a group of participants are asked to organize the data contained within an unfamiliar quantitative dataset. We identify several overarching approaches taken by participants to design their organizational space, discuss the interactions performed by the participants, and propose design recommendations to improve the usability of future high-dimensional data exploration tools that make use of grouping (clustering) and spatial (dimension reduction) operations.",10.1109/TVCG.2020.3028890,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,123,2020J141,Supporting the Problem-Solving Loop: Designing Highly Interactive Optimisation Systems,"Liu, Jie and Dwyer, Tim and Tack, Guido and Gratzl, Samuel and Marriott, Kim",2020,2021,Optimization;Tools;Task analysis;Mathematical model;Problem-solving;Visual analytics;Interactive optimisation;Interface design;Usability;Interactive systems and tools;Vehicle routing,"Efficient optimisation algorithms have become important tools for finding high-quality solutions to hard, real-world problems such as production scheduling, timetabling, or vehicle routing. These algorithms are typically â€œblack boxesâ€ that work on mathematical models of the problem to solve. However, many problems are difficult to fully specify, and require a â€œhuman in the loopâ€ who collaborates with the algorithm by refining the model and guiding the search to produce acceptable solutions. Recently, the Problem-Solving Loop was introduced as a high-level model of such interactive optimisation. Here, we present and evaluate nine recommendations for the design of interactive visualisation tools supporting the Problem-Solving Loop. They range from the choice of visual representation for solutions and constraints to the use of a solution gallery to support exploration of alternate solutions. We first examined the applicability of the recommendations by investigating how well they had been supported in previous interactive optimisation tools. We then evaluated the recommendations in the context of the vehicle routing problem with time windows (VRPTW). To do so we built a sophisticated interactive visual system for solving VRPTW that was informed by the recommendations. Ten participants then used this system to solve a variety of routing problems. We report on participant comments and interaction patterns with the tool. These showed the tool was regarded as highly usable and the results generally supported the usefulness of the underlying recommendations.",10.1109/TVCG.2020.3030364,,TRUE,TRUE,TRUE,T,,F,C2,DROP,0,,,Computer Optimization,0,1,1,1,1,0,1,0,0,0,0,,10,2. domain user,10,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4. After the deployment,0,,
348,124,2020J142,Integrating Prior Knowledge in Mixed-Initiative Social Network Clustering,"Pister, Alexis and Buono, Paolo and Fekete, Jean-Daniel and Plaisant, Catherine and Valdivia, Paola",2020,2021,Clustering algorithms;Social networking (online);Tools;Visualization;Heuristic algorithms;Clustering methods;Inference algorithms;Social network analysis;network visualization;clustering;mixed-initiative;prior knowledge;user interface,"We propose a new approach-called PK-clustering-to help social scientists create meaningful clusters in social networks. Many clustering algorithms exist but most social scientists find them difficult to understand, and tools do not provide any guidance to choose algorithms, or to evaluate results taking into account the prior knowledge of the scientists. Our work introduces a new clustering approach and a visual analytics user interface that address this issue. It is based on a process that 1) captures the prior knowledge of the scientists as a set of incomplete clusters, 2) runs multiple clustering algorithms (similarly to clustering ensemble methods), 3) visualizes the results of all the algorithms ranked and summarized by how well each algorithm matches the prior knowledge, 4) evaluates the consensus between user-selected algorithms and 5) allows users to review details and iteratively update the acquired knowledge. We describe our approach using an initial functional prototype, then provide two examples of use and early feedback from social scientists. We believe our clustering approach offers a novel constructive method to iteratively build knowledge while avoiding being overly influenced by the results of often randomly selected black-box clustering algorithms.",10.1109/TVCG.2020.3030347,,TRUE,TRUE,TRUE,T,,F,C2,KEEP,1,11. Humanities and social sciences,,Social Networks,0,1,1,0,1,1,1,1,0,0,0,1,3,1. domain expert,3,,,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4. After the deployment,0,,
,,2020J145,Uncertainty-Oriented Ensemble Data Visualization and Exploration using Variable Spatial Spreading,"Zhang, Mingdong and Chen, Li and Li, Quan and Yuan, Xiaoru and Yong, Junhai",2020,2021,Data visualization;Uncertainty;Analytical models;Computational modeling;Visualization;Data models;Stability analysis;Uncertainty visualization;ensemble visualization;spatial spreading;temporal analysis,"As an important method of handling potential uncertainties in numerical simulations, ensemble simulation has been widely applied in many disciplines. Visualization is a promising and powerful ensemble simulation analysis method. However, conventional visualization methods mainly aim at data simplification and highlighting important information based on domain expertise instead of providing a flexible data exploration and intervention mechanism. Trial-and-error procedures have to be repeatedly conducted by such approaches. To resolve this issue, we propose a new perspective of ensemble data analysis using the attribute variable dimension as the primary analysis dimension. Particularly, we propose a variable uncertainty calculation method based on variable spatial spreading. Based on this method, we design an interactive ensemble analysis framework that provides a flexible interactive exploration of the ensemble data. Particularly, the proposed spreading curve view, the region stability heat map view, and the temporal analysis view, together with the commonly used 2D map view, jointly support uncertainty distribution perception, region selection, and temporal analysis, as well as other analysis requirements. We verify our approach by analyzing a real-world ensemble simulation dataset. Feedback collected from domain experts confirms the efficacy of our framework.",10.1109/TVCG.2020.3030377,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,125,2020J147,Modeling the Influence of Visual Density on Cluster Perception in Scatterplots Using Topology,"Quadri, Ghulam Jilani and Rosen, Paul",2020,2021,Visualization;Task analysis;Data models;Encoding;Data visualization;Analytical models;Computational modeling;Scatterplot;clustering;perception;empirical evaluation;visual encoding;crowdsourcing;topological data analysis,"Scatterplots are used for a variety of visual analytics tasks, including cluster identification, and the visual encodings used on a scatterplot play a deciding role on the level of visual separation of clusters. For visualization designers, optimizing the visual encodings is crucial to maximizing the clarity of data. This requires accurately modeling human perception of cluster separation, which remains challenging. We present a multi-stage user study focusing on four factors-distribution size of clusters, number of points, size of points, and opacity of points-that influence cluster identification in scatterplots. From these parameters, we have constructed two models, a distance-based model, and a density-based model, using the merge tree data structure from Topological Data Analysis. Our analysis demonstrates that these factors play an important role in the number of clusters perceived, and it verifies that the distance-based and density-based models can reasonably estimate the number of clusters a user observes. Finally, we demonstrate how these models can be used to optimize visual encodings on real-world data.",10.1109/TVCG.2020.3030365,,TRUE,TRUE,TRUE,,T,F,C2,DROP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,362,2021J001,IRVINE: A Design Study on Analyzing Correlation Patterns of Electrical Engines,"Eirich, Joscha and Bonart, Jakob and JÃ¤ckle, Dominik and Sedlmair, Michael and Schmid, Ute and Fischbach, Kai and Schreck, Tobias and Bernard, JÃ¼rgen",2021,2022,Engines;Acoustics;Labeling;Annotations;Task analysis;Automotive engineering;Data visualization;Design study;interactive labeling;interactive clustering;H.5.2 [Information Interfaces and Presentation];User Interfacesâ€”Graphical user interfaces (GUI);User-centered design,"In this design study, we present IRVINE, a Visual Analytics (VA) system, which facilitates the analysis of acoustic data to detect and understand previously unknown errors in the manufacturing of electrical engines. In serial manufacturing processes, signatures from acoustic data provide valuable information on how the relationship between multiple produced engines serves to detect and understand previously unknown errors. To analyze such signatures, IRVINE leverages interactive clustering and data labeling techniques, allowing users to analyze clusters of engines with similar signatures, drill down to groups of engines, and select an engine of interest. Furthermore, IRVINE allows to assign labels to engines and clusters and annotate the cause of an error in the acoustic raw measurement of an engine. Since labels and annotations represent valuable knowledge, they are conserved in a knowledge database to be available for other stakeholders. We contribute a design study, where we developed IRVINE in four main iterations with engineers from a company in the automotive sector. To validate IRVINE, we conducted a field study with six domain experts. Our results suggest a high usability and usefulness of IRVINE as part of the improvement of a real-world manufacturing process. Specifically, with IRVINE domain experts were able to label and annotate produced electrical engines more than 30% faster.",10.1109/TVCG.2021.3114797,,TRUE,TRUE,FALSE,,,T,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,126,2021J005,SightBi: Exploring Cross-View Data Relationships with Biclusters,"Sun, Maoyuan and Shaikh, Abdul Rahman and Alhoori, Hamed and Zhao, Jian",2021,2022,Visualization;Data visualization;Tools;Task analysis;Layout;Sun;Bioinformatics;Cross-view data relationship;multi-view visualization;bicluster;visual analytics,"Multiple-view visualization (MV) has been heavily used in visual analysis tools for sensemaking of data in various domains (e.g., bioinformatics, cybersecurity and text analytics). One common task of visual analysis with multiple views is to relate data across different views. For example, to identify threats, an intelligence analyst needs to link people from a social network graph with locations on a crime-map, and then search for and read relevant documents. Currently, exploring cross-view data relationships heavily relies on view-coordination techniques (e.g., brushing and linking), which may require significant user effort on many trial-and-error attempts, such as repetitiously selecting elements in one view, and then observing and following elements highlighted in other views. To address this, we present SightBi, a visual analytics approach for supporting cross-view data relationship explorations. We discuss the design rationale of SightBi in detail, with identified user tasks regarding the use of cross-view data relationships. SightBi formalizes cross-view data relationships as biclusters, computes them from a dataset, and uses a bi-context design that highlights creating stand-alone relationship-views. This helps preserve existing views and offers an overview of cross-view data relationships to guide user exploration. Moreover, SightBi allows users to interactively manage the layout of multiple views by using newly created relationship-views. With a usage scenario, we demonstrate the usefulness of SightBi for sensemaking of cross-view data relationships.",10.1109/TVCG.2021.3114801,,TRUE,TRUE,TRUE,,T,F,C1,KEEP,1,,,,1,1,1,1,1,0,1,1,0,0,0,1,2,1. domain expert,2,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,4. After the deployment,0,,
354,127,2021J006,matExplorer: Visual Exploration on Predicting Ionic Conductivity for Solid-state Electrolytes,"Pu, Jiansu and Shao, Hui and Gao, Boyang and Zhu, Zhengguo and Zhu, Yanlin and Rao, Yunbo and Xiang, Yong",2021,2022,Electrolytes;Solids;Liquids;Conductivity;Batteries;Lithium;Thermal stability;Interactive visualization;machine learning;materials discovery;ionic conductivity;high-dimensional data;solid-state electrolytes,"Lithium ion batteries (LIBs) are widely used as important energy sources for mobile phones, electric vehicles, and drones. Experts have attempted to replace liquid electrolytes with solid electrolytes that have wider electrochemical window and higher stability due to the potential safety risks, such as electrolyte leakage, flammable solvents, poor thermal stability, and many side reactions caused by liquid electrolytes. However, finding suitable alternative materials using traditional approaches is very difficult due to the incredibly high cost in searching. Machine learning (ML)-based methods are currently introduced and used for material prediction. However, learning tools designed for domain experts to conduct intuitive performance comparison and analysis of ML models are rare. In this case, we propose an interactive visualization system for experts to select suitable ML models and understand and explore the predication results comprehensively. Our system uses a multifaceted visualization scheme designed to support analysis from various perspectives, such as feature distribution, data similarity, model performance, and result presentation. Case studies with actual lab experiments have been conducted by the experts, and the final results confirmed the effectiveness and helpfulness of our system.",10.1109/TVCG.2021.3114812,,TRUE,TRUE,TRUE,,T,F,C1,KEEP,1,14. Materials science and nanotechnology,,,0,1,1,1,1,1,1,1,0,1,0,1,2,1. domain expert,2,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4. After the deployment,0,,
,,2021J008,Propagating Visual Designs to Numerous Plots and Dashboards,"Khan, Saiful and Nguyen, Phong H. and Abdul-Rahman, Alfie and Bach, Benjamin and Chen, Min and Freeman, Euan and Turkay, Cagatay",2021,2022,Data visualization;Visualization;Ontologies;Tools;Programming;Analytical models;Time series analysis;Visualization system;propagation;infrastructure;ontology;quality assurance;pandemic;emergency response,"In the process of developing an infrastructure for providing visualization and visual analytics (VIS) tools to epidemiologists and modeling scientists, we encountered a technical challenge for applying a number of visual designs to numerous datasets rapidly and reliably with limited development resources. In this paper, we present a technical solution to address this challenge. Operationally, we separate the tasks of data management, visual designs, and plots and dashboard deployment in order to streamline the development workflow. Technically, we utilize: an ontology to bring datasets, visual designs, and deployable plots and dashboards under the same management framework; multi-criteria search and ranking algorithms for discovering potential datasets that match a visual design; and a purposely-design user interface for propagating each visual design to appropriate datasets (often in tens and hundreds) and quality-assuring the propagation before the deployment. This technical solution has been used in the development of the RAMPVIS infrastructure for supporting a consortium of epidemiologists and modeling scientists through visualization.",10.1109/TVCG.2021.3114828,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021J009,Exploring the Personal Informatics Analysis Gap: â€œThere's a Lot of Baconâ€,"Moore, Jimmy and Goffin, Pascal and Wiese, Jason and Meyer, Miriah",2021,2022,Informatics;Tools;Data visualization;Data analysis;Task analysis;Context;Analytical models;Personal visualization;Personal visual analytics;Personal informatics;Interview methods,"Personal informatics research helps people track personal data for the purposes of self-reflection and gaining self-knowledge. This field, however, has predominantly focused on the data collection and insight-generation elements of self-tracking, with less attention paid to flexible data analysis. As a result, this inattention has led to inflexible analytic pipelines that do not reflect or support the diverse ways people want to engage with their data. This paper contributes a review of personal informatics and visualization research literature to expose a gap in our knowledge for designing flexible tools that assist people engaging with and analyzing personal data in personal contexts, what we call the personal informatics analysis gap. We explore this gap through a multistage longitudinal study on how asthmatics engage with personal air quality data, and we report how participants: were motivated by broad and diverse goals; exhibited patterns in the way they explored their data; engaged with their data in playful ways; discovered new insights through serendipitous exploration; and were reluctant to use analysis tools on their own. These results present new opportunities for visual analysis research and suggest the need for fundamental shifts in how and what we design when supporting personal data analysis.",10.1109/TVCG.2021.3114798,,TRUE,TRUE,FALSE,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,128,2021J011,TIVEE: Visual Exploration and Explanation of Badminton Tactics in Immersive Visualizations,"Chu, Xiangtong and Xie, Xiao and Ye, Shuainan and Lu, Haolin and Xiao, Hongguang and Yuan, Zeqing and Chen, Zhutian and Zhang, Hui and Wu, Yingcai",2021,2022,Trajectory;Sports;Three-dimensional displays;Data visualization;Visualization;Games;Layout;Tactic analysis;stroke sequence visualization;immersive visualization,"Tactic analysis is a major issue in badminton as the effective usage of tactics is the key to win. The tactic in badminton is defined as a sequence of consecutive strokes. Most existing methods use statistical models to find sequential patterns of strokes and apply 2D visualizations such as glyphs and statistical charts to explore and analyze the discovered patterns. However, in badminton, spatial information like the shuttle trajectory, which is inherently 3D, is the core of a tactic. The lack of sufficient spatial awareness in 2D visualizations largely limited the tactic analysis of badminton. In this work, we collaborate with domain experts to study the tactic analysis of badminton in a 3D environment and propose an immersive visual analytics system, TIVEE, to assist users in exploring and explaining badminton tactics from multi-levels. Users can first explore various tactics from the third-person perspective using an unfolded visual presentation of stroke sequences. By selecting a tactic of interest, users can turn to the first-person perspective to perceive the detailed kinematic characteristics and explain its effects on the game result. The effectiveness and usefulness of TIVEE are demonstrated by case studies and an expert interview.",10.1109/TVCG.2021.3114861,,TRUE,TRUE,TRUE,,T,F,C1,KEEP,1,17. Sports and entertainment,,,0,1,1,1,1,1,1,1,0,0,1,1,3,1. domain expert,3,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,4. After the deployment,0,,
